elf_sha256=512f3c39d4e37b4815411c97ca7352ddc57916d33f0f62982b84fc30765ab67c
payload_bytes=3836 payload_sha256=b347be9b8feb013a61eeb5f71cccb702fa9b52141006f7489954b6a7e255cbc8 transport=http
WIFI READY 192.168.169.176 80 i2s=gpio13,18,21,25 heap_free=117132
LOADED bytes=3836 pixels=200 heap=6788 us=5107
transfer_seconds=0.422
FRAME 3000000 2240086645 1410 0 0
FRAME 3008333 1042483785 1404 0 0
FRAME 3016666 1179450714 1502 0 0
FRAME 3024999 4065690572 1398 0 0
FRAME 3033332 4257498157 1394 0 0
FRAME 3041665 548941627 1345 0 0
FRAME 3049998 1132034714 1393 0 0
FRAME 3058331 976107696 1501 0 0
FRAME 3066664 2047744525 1346 0 0
FRAME 3074997 675282499 1477 0 0
FRAME 3083330 3085927723 1389 0 0
FRAME 3091663 1440844778 1397 0 0
FRAME 3099996 976974187 1394 0 0
FRAME 3108329 2033924425 1495 0 0
FRAME 3116662 1133322632 1395 0 0
FRAME 3124995 1325851572 1418 0 0
FRAME 3133328 1972789501 1345 0 0
FRAME 3141661 2131973287 1496 0 0
FRAME 3149994 2780854570 1393 0 0
FRAME 3158327 2765409367 1350 0 0
FRAME 3166660 2501668596 1390 0 0
FRAME 3174993 2100437879 1490 0 0
FRAME 3183326 3243590373 1358 0 0
FRAME 3191659 2738361335 1397 0 0
FRAME 3199992 3278375196 1393 0 0
FRAME 3208325 1680640945 1446 0 0
FRAME 3216658 546807400 1502 0 0
FRAME 3224991 3094379660 1500 0 0
FRAME 3233324 3378683069 1354 0 0
FRAME 3241657 265621139 1484 0 0
FRAME 3249990 2765847076 1361 0 0
FRAME 3258323 2861209002 1393 0 0
FRAME 3000000 2240086645 1514 0 0
FRAME 3008333 1042483785 1361 0 0
FRAME 3016666 1179450714 1401 0 0
FRAME 3024999 4065690572 1457 0 0
FRAME 3033332 4257498157 1345 0 0
FRAME 3041665 548941627 1398 0 0
FRAME 3049998 1132034714 3297 0 0
FRAME 3058331 976107696 1402 0 0
FRAME 3066664 2047744525 1345 0 0
FRAME 3074997 675282499 1520 0 0
FRAME 3083330 3085927723 1390 0 0
FRAME 3091663 1440844778 2600 0 1
FRAME 3099996 976974187 1457 0 0
FRAME 3108329 2033924425 1398 0 0
FRAME 3116662 1133322632 1447 0 0
FRAME 3124995 1325851572 1490 0 0
FRAME 3133328 1972789501 1389 0 0
FRAME 3141661 2131973287 1346 0 0
FRAME 3149994 2780854570 1393 0 0
FRAME 3158327 2765409367 1397 0 0
FRAME 3166660 2501668596 1349 0 0
FRAME 3174993 2100437879 1394 0 0
FRAME 3183326 3243590373 1471 0 0
FRAME 3191659 2738361335 1397 0 0
FRAME 3199992 3278375196 1460 0 0
FRAME 3208325 1680640945 1349 0 0
FRAME 3216658 546807400 1397 0 0
FRAME 3224991 3094379660 1354 0 0
FRAME 3233324 3378683069 1501 0 0
FRAME 3241657 265621139 1393 0 0
FRAME 3249990 2765847076 1361 0 0
FRAME 3258323 2861209002 1500 0 0
FRAME 3000000 2240086645 1536 0 0
FRAME 3008333 1042483785 1362 0 0
FRAME 3016666 1179450714 1397 0 0
FRAME 3024999 4065690572 1349 0 0
FRAME 3033332 4257498157 1397 0 0
FRAME 3041665 548941627 1401 0 0
FRAME 3049998 1132034714 1346 0 0
FRAME 3058331 976107696 1397 0 0
FRAME 3066664 2047744525 1354 0 0
FRAME 3074997 675282499 1398 0 0
FRAME 3083330 3085927723 1390 0 0
FRAME 3091663 1440844778 1345 0 0
FRAME 3099996 976974187 1398 0 0
FRAME 3108329 2033924425 1398 0 0
FRAME 3116662 1133322632 1440 0 0
FRAME 3124995 1325851572 1494 0 0
FRAME 3133328 1972789501 1346 0 0
FRAME 3141661 2131973287 1406 0 0
FRAME 3149994 2780854570 1418 0 0
FRAME 3158327 2765409367 1404 0 0
FRAME 3166660 2501668596 1390 0 0
FRAME 3174993 2100437879 1350 0 0
FRAME 3183326 3243590373 1498 0 0
FRAME 3191659 2738361335 1394 0 0
FRAME 3199992 3278375196 1349 0 0
FRAME 3208325 1680640945 1397 0 0
FRAME 3216658 546807400 1402 0 0
FRAME 3224991 3094379660 1341 0 0
FRAME 3233324 3378683069 1393 0 0
FRAME 3241657 265621139 3184 0 0
FRAME 3249990 2765847076 1389 0 0
FRAME 3258323 2861209002 1398 0 0
VERIFIED 96 frames; zero evaluation allocations
