elf_sha256=512f3c39d4e37b4815411c97ca7352ddc57916d33f0f62982b84fc30765ab67c
payload_bytes=6160 payload_sha256=5811385e2cb6c94896acc2904aca2288556916ce193c18faea2318fc78a635b4 transport=http
WIFI READY 192.168.169.176 80 i2s=gpio13,18,21,25 heap_free=117268
LOADED bytes=6160 pixels=200 heap=19220 us=6635
transfer_seconds=0.250
FRAME 3000000 3367911959 8896 0 0
FRAME 3008333 2917909886 8769 0 0
FRAME 3016666 3951438435 9150 0 0
FRAME 3024999 3993715220 8817 0 0
FRAME 3033332 1204859023 8742 0 0
FRAME 3041665 2541549795 8824 0 0
FRAME 3049998 149821125 8743 0 0
FRAME 3058331 2806922634 8733 0 0
FRAME 3066664 1500462474 8741 0 0
FRAME 3074997 4046041231 8732 0 0
FRAME 3083330 1013473113 8736 0 0
FRAME 3091663 3548973805 8737 0 0
FRAME 3099996 326458080 8729 0 0
FRAME 3108329 1249349378 8736 0 0
FRAME 3116662 1334311357 8728 0 0
FRAME 3124995 3572955933 8736 0 0
FRAME 3133328 365227093 8740 0 0
FRAME 3141661 2709370837 8739 0 0
FRAME 3149994 2099987420 10768 0 0
FRAME 3158327 2805470269 11057 0 5
FRAME 3166660 808705035 9781 0 1
FRAME 3174993 4234020928 9775 0 1
FRAME 3183326 829765184 8733 0 0
FRAME 3191659 1346561994 8733 0 0
FRAME 3199992 2950363001 8722 0 0
FRAME 3208325 433489859 8721 0 0
FRAME 3216658 4175329325 8721 0 0
FRAME 3224991 2548920635 8713 0 0
FRAME 3233324 3933053692 8721 0 0
FRAME 3241657 276474118 8736 0 0
FRAME 3249990 1246145472 8745 0 0
FRAME 3258323 2736493327 8740 0 0
FRAME 3000000 3367911959 8725 0 0
FRAME 3008333 2917909886 8718 0 0
FRAME 3016666 3951438435 12881 0 11
FRAME 3024999 3993715220 8722 0 0
FRAME 3033332 1204859023 8734 0 0
FRAME 3041665 2541549795 8733 0 0
FRAME 3049998 149821125 8747 0 0
FRAME 3058331 2806922634 8740 0 0
FRAME 3066664 1500462474 8741 0 0
FRAME 3074997 4046041231 8734 0 0
FRAME 3083330 1013473113 8736 0 0
FRAME 3091663 3548973805 8734 0 0
FRAME 3099996 326458080 8728 0 0
FRAME 3108329 1249349378 8716 0 0
FRAME 3116662 1334311357 8726 0 0
FRAME 3124995 3572955933 8733 0 0
FRAME 3133328 365227093 8737 0 0
FRAME 3141661 2709370837 8728 0 0
FRAME 3149994 2099987420 11171 0 1
FRAME 3158327 2805470269 11783 0 2
FRAME 3166660 808705035 8674 0 0
FRAME 3174993 4234020928 8741 0 0
FRAME 3183326 829765184 8729 0 0
FRAME 3191659 1346561994 8729 0 0
FRAME 3199992 2950363001 8816 0 0
FRAME 3208325 433489859 8810 0 0
FRAME 3216658 4175329325 8766 0 0
FRAME 3224991 2548920635 8736 0 0
FRAME 3233324 3933053692 8793 0 0
FRAME 3241657 276474118 8839 0 0
FRAME 3249990 1246145472 8880 0 0
FRAME 3258323 2736493327 8744 0 0
FRAME 3000000 3367911959 8785 0 0
FRAME 3008333 2917909886 8840 0 0
FRAME 3016666 3951438435 10437 0 0
FRAME 3024999 3993715220 8734 0 0
FRAME 3033332 1204859023 8767 0 0
FRAME 3041665 2541549795 8756 0 0
FRAME 3049998 149821125 8791 0 0
FRAME 3058331 2806922634 8812 0 0
FRAME 3066664 1500462474 8815 0 0
FRAME 3074997 4046041231 8800 0 0
FRAME 3083330 1013473113 8744 0 0
FRAME 3091663 3548973805 8792 0 0
FRAME 3099996 326458080 8824 0 0
FRAME 3108329 1249349378 8735 0 0
FRAME 3116662 1334311357 8831 0 0
FRAME 3124995 3572955933 8803 0 0
FRAME 3133328 365227093 8779 0 0
FRAME 3141661 2709370837 8806 0 0
FRAME 3149994 2099987420 8812 0 0
FRAME 3158327 2805470269 8827 0 0
FRAME 3166660 808705035 8703 0 0
FRAME 3174993 4234020928 8807 0 0
FRAME 3183326 829765184 8828 0 0
FRAME 3191659 1346561994 11545 0 1
FRAME 3199992 2950363001 8753 0 0
FRAME 3208325 433489859 8817 0 0
FRAME 3216658 4175329325 8825 0 0
FRAME 3224991 2548920635 8748 0 0
FRAME 3233324 3933053692 8825 0 0
FRAME 3241657 276474118 8836 0 0
FRAME 3249990 1246145472 11256 0 1
FRAME 3258323 2736493327 8760 0 0
VERIFIED 96 frames; zero evaluation allocations
