elf_sha256=512f3c39d4e37b4815411c97ca7352ddc57916d33f0f62982b84fc30765ab67c
payload_bytes=4294 payload_sha256=de51e4bd9d53a07fb84b620713c1548edbdd9cd4e71da8dd57e5c9ed0cb33708 transport=http
WIFI READY 192.168.169.176 80 i2s=gpio13,18,21,25 heap_free=117132
LOADED bytes=4294 pixels=200 heap=9732 us=5723
transfer_seconds=0.328
FRAME 3000000 1574551139 2595 0 0
FRAME 3008333 2518373251 2543 0 0
FRAME 3016666 3681643873 2682 0 0
FRAME 3024999 1366726409 2686 0 0
FRAME 3033332 2336281398 2543 0 0
FRAME 3041665 342587463 2586 0 0
FRAME 3049998 1353975984 2579 0 0
FRAME 3058331 21688133 3765 0 1
FRAME 3066664 2823423434 2583 0 0
FRAME 3074997 1350503790 2575 0 0
FRAME 3083330 515479662 2542 0 0
FRAME 3091663 2695632252 2579 0 0
FRAME 3099996 4228261392 2680 0 0
FRAME 3108329 1119090710 3923 0 1
FRAME 3116662 349740161 2587 0 0
FRAME 3124995 17508692 2594 0 0
FRAME 3133328 3383326206 2551 0 0
FRAME 3141661 1034143595 2587 0 0
FRAME 3149994 2125224018 2756 0 0
FRAME 3158327 3354337013 2631 0 0
FRAME 3166660 2323029882 2574 0 0
FRAME 3174993 1832209178 2614 0 0
FRAME 3183326 3498043337 2654 0 0
FRAME 3191659 214551633 2695 0 0
FRAME 3199992 2514827334 2548 0 0
FRAME 3208325 2040195729 2677 0 0
FRAME 3216658 3813881208 2575 0 0
FRAME 3224991 367131305 2551 0 0
FRAME 3233324 1191695719 2694 0 0
FRAME 3241657 4253705538 2632 0 0
FRAME 3249990 2243917141 2637 0 0
FRAME 3258323 3219816384 2578 0 0
FRAME 3000000 1574551139 2702 0 0
FRAME 3008333 2518373251 2547 0 0
FRAME 3016666 3681643873 2579 0 0
FRAME 3024999 1366726409 2575 0 0
FRAME 3033332 2336281398 2559 0 0
FRAME 3041665 342587463 2583 0 0
FRAME 3049998 1353975984 2721 0 0
FRAME 3058331 21688133 2551 0 0
FRAME 3066664 2823423434 2686 0 0
FRAME 3074997 1350503790 4553 0 0
FRAME 3083330 515479662 2644 0 0
FRAME 3091663 2695632252 2678 0 0
FRAME 3099996 4228261392 2659 0 0
FRAME 3108329 1119090710 2583 0 0
FRAME 3116662 349740161 2606 0 0
FRAME 3124995 17508692 2666 0 0
FRAME 3133328 3383326206 2682 0 0
FRAME 3141661 1034143595 2595 0 1
FRAME 3149994 2125224018 2653 0 0
FRAME 3158327 3354337013 2583 0 0
FRAME 3166660 2323029882 2547 0 0
FRAME 3174993 1832209178 2576 0 0
FRAME 3183326 3498043337 2575 0 0
FRAME 3191659 214551633 2656 0 0
FRAME 3199992 2514827334 2580 0 0
FRAME 3208325 2040195729 5161 0 2
FRAME 3216658 3813881208 2658 0 0
FRAME 3224991 367131305 2579 0 0
FRAME 3233324 1191695719 2740 0 0
FRAME 3241657 4253705538 2592 0 0
FRAME 3249990 2243917141 2575 0 0
FRAME 3258323 3219816384 2687 0 0
FRAME 3000000 1574551139 2547 0 0
FRAME 3008333 2518373251 2582 0 0
FRAME 3016666 3681643873 2542 0 0
FRAME 3024999 1366726409 2698 0 0
FRAME 3033332 2336281398 2691 0 0
FRAME 3041665 342587463 2546 0 0
FRAME 3049998 1353975984 2699 0 0
FRAME 3058331 21688133 2579 0 0
FRAME 3066664 2823423434 2547 0 0
FRAME 3074997 1350503790 2574 0 0
FRAME 3083330 515479662 2575 0 0
FRAME 3091663 2695632252 2635 0 0
FRAME 3099996 4228261392 2574 0 0
FRAME 3108329 1119090710 2701 0 0
FRAME 3116662 349740161 2551 0 0
FRAME 3124995 17508692 2590 0 0
FRAME 3133328 3383326206 2727 0 0
FRAME 3141661 1034143595 2670 0 0
FRAME 3149994 2125224018 2579 0 0
FRAME 3158327 3354337013 5496 0 5
FRAME 3166660 2323029882 2617 0 0
FRAME 3174993 1832209178 2695 0 0
FRAME 3183326 3498043337 2550 0 0
FRAME 3191659 214551633 2595 0 0
FRAME 3199992 2514827334 2687 0 0
FRAME 3208325 2040195729 2551 0 0
FRAME 3216658 3813881208 2695 0 0
FRAME 3224991 367131305 2671 0 0
FRAME 3233324 1191695719 2646 0 0
FRAME 3241657 4253705538 2583 0 0
FRAME 3249990 2243917141 2726 0 0
FRAME 3258323 3219816384 2554 0 0
VERIFIED 96 frames; zero evaluation allocations
