elf_sha256=512f3c39d4e37b4815411c97ca7352ddc57916d33f0f62982b84fc30765ab67c
payload_bytes=6070 payload_sha256=2e230ead5a9ed9174c2004fb5f7c19983d1b039f6f98ced4c3fa58bf2791b892 transport=http
WIFI READY 192.168.169.176 80 i2s=gpio13,18,21,25 heap_free=117268
LOADED bytes=6070 pixels=200 heap=9692 us=6059
transfer_seconds=0.437
FRAME 3000000 2452516024 32713 0 8
FRAME 3008333 2452516024 31516 0 1
FRAME 3016666 2452516024 31822 0 3
FRAME 3024999 2452516024 28373 0 0
FRAME 3033332 2452516024 29254 0 1
FRAME 3041665 2452516024 28394 0 0
FRAME 3049998 2452516024 28382 0 0
FRAME 3058331 2452516024 29720 0 0
FRAME 3066664 2452516024 29636 0 0
FRAME 3074997 2452516024 29699 0 0
FRAME 3083330 2452516024 29755 0 0
FRAME 3091663 2452516024 29697 0 0
FRAME 3099996 2452516024 29675 0 0
FRAME 3108329 2452516024 33857 0 1
FRAME 3116662 2452516024 33843 0 1
FRAME 3124995 2452516024 34423 0 3
FRAME 3133328 2452516024 32100 0 1
FRAME 3141661 2452516024 34587 0 3
FRAME 3149994 2452516024 32084 0 1
FRAME 3158327 2452516024 32331 0 0
FRAME 3166660 2452516024 32316 0 0
FRAME 3174993 2452516024 32379 0 0
FRAME 3183326 2452516024 32332 0 0
FRAME 3191659 2452516024 32745 0 0
FRAME 3199992 2452516024 32323 0 0
FRAME 3208325 2452516024 32304 0 0
FRAME 3216658 2452516024 34703 0 1
FRAME 3224991 2452516024 34364 0 0
FRAME 3233324 2452516024 35237 0 1
FRAME 3241657 2452516024 35299 0 2
FRAME 3249990 2452516024 35463 0 2
FRAME 3258323 2452516024 35207 0 2
FRAME 3000000 2452516024 28315 0 0
FRAME 3008333 2452516024 28316 0 0
FRAME 3016666 2452516024 31439 0 5
FRAME 3024999 2452516024 28314 0 0
FRAME 3033332 2452516024 28312 0 0
FRAME 3041665 2452516024 31574 0 5
FRAME 3049998 2452516024 30381 0 5
FRAME 3058331 2452516024 29624 0 0
FRAME 3066664 2452516024 30588 0 1
FRAME 3074997 2452516024 29587 0 0
FRAME 3083330 2452516024 29626 0 0
FRAME 3091663 2452516024 33669 0 7
FRAME 3099996 2452516024 29589 0 0
FRAME 3108329 2452516024 30928 0 0
FRAME 3116662 2452516024 33567 0 1
FRAME 3124995 2452516024 33871 0 2
FRAME 3133328 2452516024 30944 0 0
FRAME 3141661 2452516024 30944 0 0
FRAME 3149994 2452516024 33866 0 3
FRAME 3158327 2452516024 32316 0 0
FRAME 3166660 2452516024 35181 0 4
FRAME 3174993 2452516024 32261 0 0
FRAME 3183326 2452516024 32206 0 0
FRAME 3191659 2452516024 32332 0 0
FRAME 3199992 2452516024 34552 0 1
FRAME 3208325 2452516024 33796 0 0
FRAME 3216658 2452516024 33234 0 1
FRAME 3224991 2452516024 32234 0 0
FRAME 3233324 2452516024 32225 0 0
FRAME 3241657 2452516024 32327 0 0
FRAME 3249990 2452516024 32318 0 0
FRAME 3258323 2452516024 32322 0 0
FRAME 3000000 2452516024 31446 0 3
FRAME 3008333 2452516024 28312 0 0
FRAME 3016666 2452516024 29917 0 0
FRAME 3024999 2452516024 28325 0 0
FRAME 3033332 2452516024 28327 0 0
FRAME 3041665 2452516024 31319 0 4
FRAME 3049998 2452516024 29319 0 1
FRAME 3058331 2452516024 29691 0 0
FRAME 3066664 2452516024 32639 0 3
FRAME 3074997 2452516024 29645 0 0
FRAME 3083330 2452516024 29631 0 0
FRAME 3091663 2452516024 32113 0 1
FRAME 3099996 2452516024 29632 0 0
FRAME 3108329 2452516024 30983 0 0
FRAME 3116662 2452516024 32412 0 2
FRAME 3124995 2452516024 32576 0 0
FRAME 3133328 2452516024 30949 0 0
FRAME 3141661 2452516024 30934 0 0
FRAME 3149994 2452516024 33765 0 1
FRAME 3158327 2452516024 35970 0 4
FRAME 3166660 2452516024 35109 0 1
FRAME 3174993 2452516024 35950 0 5
FRAME 3183326 2452516024 35405 0 5
FRAME 3191659 2452516024 33259 0 1
FRAME 3199992 2452516024 32344 0 0
FRAME 3208325 2452516024 32240 0 0
FRAME 3216658 2452516024 32324 0 0
FRAME 3224991 2452516024 32241 0 0
FRAME 3233324 2452516024 32284 0 0
FRAME 3241657 2452516024 35522 0 2
FRAME 3249990 2452516024 35511 0 5
FRAME 3258323 2452516024 36470 0 7
VERIFIED 96 frames; zero evaluation allocations
