elf_sha256=512f3c39d4e37b4815411c97ca7352ddc57916d33f0f62982b84fc30765ab67c
payload_bytes=19574 payload_sha256=640fd5863e369a085f732f1f88a57b2e8cf134d208956e9f882ea0329e5d557e transport=http
WIFI READY 192.168.169.176 80 i2s=gpio13,18,21,25 heap_free=117268
LOADED bytes=19574 pixels=200 heap=31888 us=11919
transfer_seconds=0.594
FRAME 3000000 173857290 1270 0 0
FRAME 3008333 2841681313 1109 0 0
FRAME 3016666 1424564258 1136 0 0
FRAME 3024999 3802542983 1096 0 0
FRAME 3033332 3241570999 1104 0 0
FRAME 3041665 288708178 3715 0 2
FRAME 3049998 3501520775 1113 0 0
FRAME 3058331 1454096180 1132 0 0
FRAME 3066664 805985194 1121 0 0
FRAME 3074997 4116028764 1133 0 0
FRAME 3083330 1429545403 1137 0 0
FRAME 3091663 2080892089 1149 0 0
FRAME 3099996 2570491135 1109 0 0
FRAME 3108329 22268217 1251 0 0
FRAME 3116662 3141383715 2314 0 1
FRAME 3124995 4139857461 1161 0 0
FRAME 3133328 3743899256 1156 0 0
FRAME 3141661 3814228828 1145 0 0
FRAME 3149994 3104827661 1253 0 0
FRAME 3158327 2674092332 1184 0 0
FRAME 3166660 2831085380 1161 0 0
FRAME 3174993 481866017 1184 0 0
FRAME 3183326 4024824425 1264 0 0
FRAME 3191659 868387127 1193 0 0
FRAME 3199992 202226813 1181 0 0
FRAME 3208325 922435577 1169 0 0
FRAME 3216658 3876293542 1185 0 0
FRAME 3224991 4082692903 1185 0 0
FRAME 3233324 1107506248 1168 0 0
FRAME 3241657 2809868224 1180 0 0
FRAME 3249990 1031566651 1189 0 0
FRAME 3258323 2816356782 1162 0 0
FRAME 3000000 173857290 1120 0 0
FRAME 3008333 2841681313 1105 0 0
FRAME 3016666 1424564258 1189 0 0
FRAME 3024999 3802542983 1108 0 0
FRAME 3033332 3241570999 1113 0 0
FRAME 3041665 288708178 1089 0 0
FRAME 3049998 3501520775 1121 0 0
FRAME 3058331 1454096180 1136 0 0
FRAME 3066664 805985194 1117 0 0
FRAME 3074997 4116028764 1141 0 0
FRAME 3083330 1429545403 1145 0 0
FRAME 3091663 2080892089 1133 0 0
FRAME 3099996 2570491135 1113 0 0
FRAME 3108329 22268217 1152 0 0
FRAME 3116662 3141383715 1144 0 0
FRAME 3124995 4139857461 1156 0 0
FRAME 3133328 3743899256 1261 0 0
FRAME 3141661 3814228828 1141 0 0
FRAME 3149994 3104827661 1265 0 0
FRAME 3158327 2674092332 1241 0 0
FRAME 3166660 2831085380 1164 0 0
FRAME 3174993 481866017 1184 0 0
FRAME 3183326 4024824425 1315 0 0
FRAME 3191659 868387127 1160 0 0
FRAME 3199992 202226813 1334 0 0
FRAME 3208325 922435577 1181 0 0
FRAME 3216658 3876293542 1165 0 0
FRAME 3224991 4082692903 1180 0 0
FRAME 3233324 1107506248 1185 0 0
FRAME 3241657 2809868224 1229 0 0
FRAME 3249990 1031566651 1196 0 0
FRAME 3258323 2816356782 1181 0 0
FRAME 3000000 173857290 1092 0 0
FRAME 3008333 2841681313 1201 0 0
FRAME 3016666 1424564258 3450 0 1
FRAME 3024999 3802542983 1094 0 0
FRAME 3033332 3241570999 1109 0 0
FRAME 3041665 288708178 1141 0 0
FRAME 3049998 3501520775 1105 0 0
FRAME 3058331 1454096180 1136 0 0
FRAME 3066664 805985194 3135 0 0
FRAME 3074997 4116028764 1113 0 0
FRAME 3083330 1429545403 1136 0 0
FRAME 3091663 2080892089 1109 0 0
FRAME 3099996 2570491135 1145 0 0
FRAME 3108329 22268217 1248 0 0
FRAME 3116662 3141383715 1137 0 0
FRAME 3124995 4139857461 1193 0 0
FRAME 3133328 3743899256 1156 0 0
FRAME 3141661 3814228828 1157 0 0
FRAME 3149994 3104827661 1161 0 0
FRAME 3158327 2674092332 1160 0 0
FRAME 3166660 2831085380 1189 0 0
FRAME 3174993 481866017 1176 0 0
FRAME 3183326 4024824425 1168 0 0
FRAME 3191659 868387127 1352 0 0
FRAME 3199992 202226813 1297 0 0
FRAME 3208325 922435577 1166 0 0
FRAME 3216658 3876293542 1190 0 0
FRAME 3224991 4082692903 1177 0 0
FRAME 3233324 1107506248 2399 0 1
FRAME 3241657 2809868224 1189 0 0
FRAME 3249990 1031566651 1184 0 0
FRAME 3258323 2816356782 1174 0 0
VERIFIED 96 frames; zero evaluation allocations
