elf_sha256=512f3c39d4e37b4815411c97ca7352ddc57916d33f0f62982b84fc30765ab67c
payload_bytes=19574 payload_sha256=03bb81cdda9893e3fb025f7259d6b36ace6dfad6a2b70a4664d24bdcfc82c98e transport=http
WIFI READY 192.168.169.176 80 i2s=gpio13,18,21,25 heap_free=117268
LOADED bytes=19574 pixels=200 heap=23388 us=8598
transfer_seconds=0.437
FRAME 3000000 2673509050 2059 0 0
FRAME 3008333 717206045 2172 0 0
FRAME 3016666 2760093843 2143 0 0
FRAME 3024999 2880081076 2040 0 0
FRAME 3033332 3340698907 2128 0 0
FRAME 3041665 888435769 2025 0 0
FRAME 3049998 3726078478 2044 0 0
FRAME 3058331 1562795884 2124 0 0
FRAME 3066664 2503676783 2092 0 0
FRAME 3074997 2126629923 2113 0 0
FRAME 3083330 2177922516 2213 0 0
FRAME 3091663 454362481 2100 0 0
FRAME 3099996 1238069953 2112 0 0
FRAME 3108329 1776141506 2167 0 0
FRAME 3116662 213187436 2176 0 0
FRAME 3124995 314774544 2184 0 0
FRAME 3133328 3488202416 2164 0 0
FRAME 3141661 3510347104 2184 0 0
FRAME 3149994 2655815038 2355 0 0
FRAME 3158327 3260842298 2288 0 0
FRAME 3166660 1203752386 2260 0 0
FRAME 3174993 1299234884 2260 0 0
FRAME 3183326 3384123755 2231 0 0
FRAME 3191659 1756596007 2260 0 0
FRAME 3199992 469287596 2256 0 0
FRAME 3208325 3889531734 2329 0 0
FRAME 3216658 3995015049 2252 0 0
FRAME 3224991 3967584485 2232 0 0
FRAME 3233324 1380494425 2252 0 0
FRAME 3241657 2115363741 2357 0 0
FRAME 3249990 2742876150 2261 0 0
FRAME 3258323 1065441061 2225 0 0
FRAME 3000000 2673509050 2080 0 0
FRAME 3008333 717206045 2133 0 0
FRAME 3016666 2760093843 2024 0 0
FRAME 3024999 2880081076 2140 0 0
FRAME 3033332 3340698907 2121 0 0
FRAME 3041665 888435769 2041 0 0
FRAME 3049998 3726078478 2078 0 0
FRAME 3058331 1562795884 2108 0 0
FRAME 3066664 2503676783 2108 0 0
FRAME 3074997 2126629923 2108 0 0
FRAME 3083330 2177922516 2203 0 0
FRAME 3091663 454362481 2092 0 0
FRAME 3099996 1238069953 2120 0 0
FRAME 3108329 1776141506 2184 0 0
FRAME 3116662 213187436 2168 0 0
FRAME 3124995 314774544 2184 0 0
FRAME 3133328 3488202416 3493 0 1
FRAME 3141661 3510347104 2180 0 0
FRAME 3149994 2655815038 2179 0 0
FRAME 3158327 3260842298 2233 0 0
FRAME 3166660 1203752386 2251 0 0
FRAME 3174993 1299234884 2237 0 0
FRAME 3183326 3384123755 2257 0 0
FRAME 3191659 1756596007 2252 0 0
FRAME 3199992 469287596 2371 0 0
FRAME 3208325 3889531734 2248 0 0
FRAME 3216658 3995015049 2388 0 0
FRAME 3224991 3967584485 2224 0 0
FRAME 3233324 1380494425 2287 0 0
FRAME 3241657 2115363741 2249 0 0
FRAME 3249990 2742876150 2341 0 0
FRAME 3258323 1065441061 2253 0 0
FRAME 3000000 2673509050 3332 0 1
FRAME 3008333 717206045 2061 0 0
FRAME 3016666 2760093843 2040 0 0
FRAME 3024999 2880081076 2121 0 0
FRAME 3033332 3340698907 2040 0 0
FRAME 3041665 888435769 2044 0 0
FRAME 3049998 3726078478 2032 0 0
FRAME 3058331 1562795884 2212 0 0
FRAME 3066664 2503676783 2136 0 0
FRAME 3074997 2126629923 2204 0 0
FRAME 3083330 2177922516 2115 0 0
FRAME 3091663 454362481 2117 0 0
FRAME 3099996 1238069953 2116 0 0
FRAME 3108329 1776141506 2171 0 0
FRAME 3116662 213187436 2176 0 0
FRAME 3124995 314774544 2169 0 0
FRAME 3133328 3488202416 2184 0 0
FRAME 3141661 3510347104 2272 0 0
FRAME 3149994 2655815038 2164 0 0
FRAME 3158327 3260842298 2264 0 0
FRAME 3166660 1203752386 2356 0 0
FRAME 3174993 1299234884 2240 0 0
FRAME 3183326 3384123755 2252 0 0
FRAME 3191659 1756596007 2260 0 0
FRAME 3199992 469287596 2232 0 0
FRAME 3208325 3889531734 2260 0 0
FRAME 3216658 3995015049 2260 0 0
FRAME 3224991 3967584485 2237 0 0
FRAME 3233324 1380494425 2252 0 0
FRAME 3241657 2115363741 2265 0 0
FRAME 3249990 2742876150 2229 0 0
FRAME 3258323 1065441061 2257 0 0
VERIFIED 96 frames; zero evaluation allocations
