elf_sha256=512f3c39d4e37b4815411c97ca7352ddc57916d33f0f62982b84fc30765ab67c
payload_bytes=25268 payload_sha256=82ffb5937025d8b0afad4c2157223ca173498316aa1022cbe5c6317ee16d9a92 transport=http
WIFI READY 192.168.169.176 80 i2s=gpio13,18,21,25 heap_free=117132
LOADED bytes=25268 pixels=452 heap=39096 us=11892
transfer_seconds=0.406
LOADED bytes=25268 pixels=452 heap=35696 us=11629
transfer_seconds=0.188
LOADED bytes=25268 pixels=452 heap=35504 us=11196
transfer_seconds=0.172
VERIFIED HTTP authorization rejection
REJECT Version
REJECT Limit
REJECT Checksum
VERIFIED concurrent HTTP upload rejection
VERIFIED interrupted HTTP upload disconnect
FRAME 0 3459375601 2387 0 0
FRAME 49652777 3459375601 2280 0 0
FRAME 49659722 3459375601 2294 0 0
FRAME 58319444 1758088845 2614 0 0
FRAME 58680555 2337628906 2568 0 0
FRAME 58986111 1343713600 2823 0 0
FRAME 66000000 2491043852 4589 0 0
FRAME 104166666 3459375601 2265 0 0
FRAME 249753832 3459375601 351 0 0
FRAME 0 3459375601 2298 0 0
FRAME 0 3459375601 2255 0 0
FRAME 49652777 3459375601 2282 0 0
FRAME 49659722 3459375601 2253 0 0
FRAME 58319444 1758088845 4959 0 4
FRAME 58680555 2337628906 2609 0 0
FRAME 58986111 1343713600 2805 0 0
FRAME 66000000 2491043852 5846 0 1
FRAME 104166666 3459375601 2278 0 0
FRAME 249753832 3459375601 447 0 0
FRAME 0 3459375601 2352 0 0
FRAME 0 3459375601 2288 0 0
FRAME 49652777 3459375601 2255 0 0
FRAME 49659722 3459375601 2258 0 0
FRAME 58319444 1758088845 2530 0 0
FRAME 58680555 2337628906 2632 0 0
FRAME 58986111 1343713600 2685 0 0
FRAME 66000000 2491043852 4615 0 0
FRAME 104166666 3459375601 2265 0 0
FRAME 249753832 3459375601 324 0 0
FRAME 0 3459375601 2384 0 0
FRAME 0 3459375601 2289 0 0
FRAME 49652777 3459375601 2220 0 0
FRAME 49659722 3459375601 2249 0 0
FRAME 58319444 1758088845 3849 0 1
FRAME 58680555 2337628906 2545 0 0
FRAME 58986111 1343713600 2703 0 0
FRAME 66000000 2491043852 4639 0 0
FRAME 104166666 3459375601 2444 0 0
FRAME 249753832 3459375601 353 0 0
FRAME 0 3459375601 2351 0 0
FRAME 0 3459375601 2401 0 0
FRAME 49652777 3459375601 2365 0 0
FRAME 49659722 3459375601 2332 0 0
FRAME 58319444 1758088845 2483 0 0
FRAME 58680555 2337628906 2569 0 0
FRAME 58986111 1343713600 2765 0 0
FRAME 66000000 2491043852 4632 0 0
FRAME 104166666 3459375601 2270 0 0
FRAME 249753832 3459375601 356 0 0
FRAME 0 3459375601 3527 0 1
FRAME 0 3459375601 2296 0 0
FRAME 49652777 3459375601 2362 0 0
FRAME 49659722 3459375601 2257 0 0
FRAME 58319444 1758088845 2532 0 0
FRAME 58680555 2337628906 2655 0 0
FRAME 58986111 1343713600 2675 0 0
FRAME 66000000 2491043852 4563 0 0
FRAME 104166666 3459375601 2292 0 0
FRAME 249753832 3459375601 466 0 0
FRAME 0 3459375601 2277 0 0
FRAME 0 3459375601 4488 0 1
FRAME 49652777 3459375601 2220 0 0
FRAME 49659722 3459375601 2241 0 0
FRAME 58319444 1758088845 2535 0 0
FRAME 58680555 2337628906 2560 0 0
FRAME 58986111 1343713600 2658 0 0
FRAME 66000000 2491043852 4600 0 0
FRAME 104166666 3459375601 2255 0 0
FRAME 249753832 3459375601 352 0 0
FRAME 0 3459375601 4238 0 0
FRAME 0 3459375601 2373 0 0
FRAME 49652777 3459375601 2247 0 0
FRAME 49659722 3459375601 2242 0 0
FRAME 58319444 1758088845 2486 0 0
FRAME 58680555 2337628906 2542 0 0
FRAME 58986111 1343713600 2675 0 0
FRAME 66000000 2491043852 4619 0 0
FRAME 104166666 3459375601 2284 0 0
FRAME 249753832 3459375601 324 0 0
FRAME 0 3459375601 2277 0 0
FRAME 0 3459375601 2379 0 0
FRAME 49652777 3459375601 2217 0 0
FRAME 49659722 3459375601 2414 0 0
FRAME 58319444 1758088845 2523 0 0
FRAME 58680555 2337628906 2545 0 0
FRAME 58986111 1343713600 2697 0 0
FRAME 66000000 2491043852 4616 0 0
FRAME 104166666 3459375601 4822 0 3
FRAME 249753832 3459375601 324 0 0
FRAME 0 3459375601 2408 0 0
FRAME 0 3459375601 2276 0 0
FRAME 49652777 3459375601 2224 0 0
FRAME 49659722 3459375601 2361 0 0
FRAME 58319444 1758088845 3796 0 1
FRAME 58680555 2337628906 2652 0 0
FRAME 58986111 1343713600 2704 0 0
FRAME 66000000 2491043852 4581 0 0
FRAME 104166666 3459375601 2375 0 0
FRAME 249753832 3459375601 348 0 0
FRAME 0 3459375601 2366 0 0
FRAME 0 3459375601 2271 0 0
FRAME 49652777 3459375601 2283 0 0
FRAME 49659722 3459375601 2223 0 0
FRAME 58319444 1758088845 2490 0 0
FRAME 58680555 2337628906 2669 0 0
FRAME 58986111 1343713600 2734 0 0
FRAME 66000000 2491043852 4618 0 0
FRAME 104166666 3459375601 2255 0 0
FRAME 249753832 3459375601 324 0 0
FRAME 0 3459375601 2270 0 0
FRAME 0 3459375601 2273 0 0
FRAME 49652777 3459375601 2274 0 0
FRAME 49659722 3459375601 2243 0 0
FRAME 58319444 1758088845 2527 0 0
FRAME 58680555 2337628906 2535 0 0
FRAME 58986111 1343713600 2712 0 0
FRAME 66000000 2491043852 4588 0 0
FRAME 104166666 3459375601 2261 0 0
FRAME 249753832 3459375601 347 0 0
FRAME 0 3459375601 2360 0 0
FRAME 0 3459375601 2268 0 0
FRAME 49652777 3459375601 3589 0 1
FRAME 49659722 3459375601 2257 0 0
FRAME 58319444 1758088845 2606 0 0
FRAME 58680555 2337628906 2702 0 0
FRAME 58986111 1343713600 2792 0 0
FRAME 66000000 2491043852 5070 0 0
FRAME 104166666 3459375601 2735 0 1
FRAME 249753832 3459375601 324 0 0
FRAME 0 3459375601 2324 0 0
FRAME 0 3459375601 2317 0 0
FRAME 49652777 3459375601 2228 0 0
FRAME 49659722 3459375601 2248 0 0
FRAME 58319444 1758088845 2532 0 0
FRAME 58680555 2337628906 2569 0 0
FRAME 58986111 1343713600 2761 0 0
FRAME 66000000 2491043852 4582 0 0
FRAME 104166666 3459375601 2327 0 0
FRAME 249753832 3459375601 356 0 0
FRAME 0 3459375601 2309 0 0
FRAME 0 3459375601 2289 0 0
FRAME 49652777 3459375601 2284 0 0
FRAME 49659722 3459375601 2358 0 0
FRAME 58319444 1758088845 2552 0 0
FRAME 58680555 2337628906 2616 0 0
FRAME 58986111 1343713600 2796 0 0
FRAME 66000000 2491043852 4589 0 0
FRAME 104166666 3459375601 2251 0 0
FRAME 249753832 3459375601 352 0 0
FRAME 0 3459375601 2286 0 0
FRAME 0 3459375601 2314 0 0
FRAME 49652777 3459375601 3482 0 1
FRAME 49659722 3459375601 2247 0 0
FRAME 58319444 1758088845 3401 0 0
FRAME 58680555 2337628906 2567 0 0
FRAME 58986111 1343713600 2712 0 0
FRAME 66000000 2491043852 4600 0 0
FRAME 104166666 3459375601 2327 0 0
FRAME 249753832 3459375601 349 0 0
FRAME 0 3459375601 2279 0 0
FRAME 0 3459375601 2359 0 0
FRAME 49652777 3459375601 2269 0 0
FRAME 49659722 3459375601 4451 0 1
FRAME 58319444 1758088845 2508 0 0
FRAME 58680555 2337628906 2694 0 0
FRAME 58986111 1343713600 3933 0 1
FRAME 66000000 2491043852 4644 0 0
FRAME 104166666 3459375601 2267 0 0
FRAME 249753832 3459375601 356 0 0
FRAME 0 3459375601 2283 0 0
FRAME 0 3459375601 2473 0 0
FRAME 49652777 3459375601 4529 0 1
FRAME 49659722 3459375601 2242 0 0
FRAME 58319444 1758088845 2630 0 0
FRAME 58680555 2337628906 2665 0 0
FRAME 58986111 1343713600 2850 0 0
FRAME 66000000 2491043852 4616 0 0
